GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hamburgueria,com.lanchonete.pedido,Pedido,0,146,0,10,0,44,0,21,0,16
hamburgueria,com.lanchonete.entrega,Delivery,0,42,0,0,0,6,0,3,0,3
hamburgueria,com.lanchonete.entrega,DriveThrough,0,27,0,0,0,5,0,2,0,2
hamburgueria,com.lanchonete.entrega,Loja,0,27,0,0,0,5,0,2,0,2
hamburgueria,com.lanchonete.entrega.state,Preparando,8,16,0,0,4,6,2,3,2,3
hamburgueria,com.lanchonete.entrega.state,Entregue,8,9,0,0,4,4,2,3,2,3
hamburgueria,com.lanchonete.entrega.state,EmRota,8,16,0,0,4,6,2,3,2,3
hamburgueria,com.lanchonete.desconto,DescontoCombo,1,22,1,3,0,5,1,3,0,2
hamburgueria,com.lanchonete.desconto,DescontoHandler,0,7,0,0,0,3,0,2,0,2
hamburgueria,com.lanchonete.desconto,SemDesconto,0,5,0,0,0,2,0,2,0,2
hamburgueria,com.lanchonete.lanche,Hamburguer,0,7,0,0,0,3,0,3,0,3
hamburgueria,com.lanchonete.lanche.decorator,IngredientesExtraDecorator,8,13,0,2,2,5,2,2,2,1
hamburgueria,com.lanchonete.lanche.decorator,ExtraBacon,0,21,0,0,0,4,0,3,0,3
hamburgueria,com.lanchonete.lanche.decorator,ExtraQueijo,0,21,0,0,0,4,0,3,0,3
